tag,num_questions,description
applescript,7688,"AppleScript is an end user scripting language that has been available in Mac computers since System 7 Pro (7.1.1). It allows for automation of system tasks, communication between processes, and creation of workflows, amongst other functions."
apt,1089,"Debian's Advanced Packaging Tool whose main binary is apt-get. Most questions about APT are off topic for Stack Overflow, unless it is clearly related to a programming tool."
arc,3758,Automatic Reference Counting (ARC) is a compiler feature that provides automatic memory management of Objective-C and Swift objects.
assembly-language,35709,"Assembly language questions. Please tag the processor and/or the instruction set you are using, as well as the assembler, a valid set should be like this: (assembly, x86, gnu) Note that you should use the "".net-assembly"" tag instead for .NET assembly languages, and for Java bytecode, use the tag java-bytecode-asm instead."
autohotkey,3678,"AutoHotkey (AHK) is a free, open-source macro-creation and automation software for Microsoft Windows that allows users to automate repetitive tasks. It is driven by a scripting language that was initially aimed at providing keyboard shortcuts, otherwise known as hotkeys, that over time evolved into a full-fledged scripting language."
autoit,1692,AutoIt v3 is a freeware BASIC-like scripting language designed for automating the Windows GUI and general scripting.
autolisp,178,AutoLISP is the flavor of LISP implemented by Autodesk for AutoCAD.
axum,3,"Axum is a domain specific concurrent programming language, based on the Actor model, being developed by Microsoft."
awk,29012,AWK is an interpreted programming language designed for text processing and typically used as a data extraction and reporting tool.  AWK is used largely with Unix systems.
b,10,B (pronounced like the letter B) was a language briefly used before the language C was designed.
ballerina,260,Ballerina is a cloud-native programming language and environment for integration. It makes it easy to write microservices that integrate APIs.
bash,130087,"For questions about scripts written for the Bash command shell.  For shell scripts with errors/syntax errors, please check them with the shellcheck program (or in the web shellcheck server at https://shellcheck.net) before posting here.  Questions about interactive use of Bash are more likely to be on-topic on Super User than on Stack Overflow."
basic,740,BASIC (Beginner’s All-purpose Symbolic Instruction Code) is a family of high-level programming languages designed to be easy to use.
batch-file,48959,"A batch file is a text file containing a series of commands that are executed by the command interpreter on MS-DOS, IBM OS/2, or Microsoft Windows systems."
bcpl,7,"BCPL (Basic Combined Programming Language) is a procedural, imperative, and structured computer programming language designed by Martin Richards of the University of Cambridge in 1966."
beanshell,820,Lightweight scripting for Java
bc,261,bc is an arbitrary precision calculator language used in shell scripting. Use this tag for questions about programmatic use of bc; questions about general usage and troubleshooting are considered off-topic.
bloop,1,The bloop tag has no usage guidance.
blockly,171,"Blockly is an open-source web-based, graphical programming environment that enables users to write JavaScript, Python, PHP, and Dart programs by moving around blocks.  Developers can extend it to integrate with their own apps.  It has been translated into over 40 (human) languages."
beta,612,"Software development phase where the application is considered ""feature complete"" but still may have numerous bugs and usability issues."
boo,129,"Boo is an object oriented, statically typed programming language for the Common Language Infrastructure, with a Python-inspired syntax and a special focus on language and compiler extensibility."
bosque,2,A programming language introduced by Microsoft scientist Mark Marron. It's inspired by the syntax and types of TypeScript and the semantics of ML and Node/JavaScript.
boomerang,20,Questions about the boomerang JavaScript library to measure real user perceived page load time.
c,341972,"C is a general-purpose programming language used for system programming (OS and embedded), libraries, games and cross-platform. This tag should be used with general questions concerning the C language, as defined in the ISO 9899 standard (the latest version, 9899:2018, unless otherwise specified — also tag version-specific requests with c89, c99, c11, etc). C is distinct from C++ and it should not be combined with the C++ tag absent a rational reason."
c#,1442296,"C# (pronounced ""see sharp"") is a high level, statically typed, multi-paradigm programming language developed by Microsoft. C# code usually targets Microsoft's .NET family of tools and run-times, which include the .NET Framework, .NET Core and Xamarin among others. Use this tag for questions about code written in C# or C#'s formal specification."
c++,696344,"C++ is a general-purpose programming language. It was originally designed as an extension to C and has a similar syntax, but it is now a completely different language. Use this tag for questions about code (to be) compiled with a C++ compiler. Use a version-specific tag for questions related to a specific standard revision [C++11], [C++14], [C++17] or [C++20], etc."
caml,614,"CAML (Collaborative Application Markup Language) is an XML based markup language used with the family of Microsoft SharePoint technologies (Windows SharePoint Services and Office SharePoint Server). For the Objective Caml programming language, use the tag ocaml."
cfengine,36,CFEngine is a configuration management tool that allows you to automate system configuration and administration.
ceylon,112,Ceylon programming language for Java and JavaScript virtual machines.
cg,290,Cg is a high-level shading language developed by Nvidia.
ch,6,Ch is a C/C++ interpreter and scripting language.
charm,9,"A high level Object Oriented programming language with considerable influences from RTL/2 and noted similarities to Modula 2, Pascal, and C; primarily focused towards ARM/RISC OS development."
chapel,219,"Chapel is a portable, open-source parallel programming language.  Use this tag to ask questions about the Chapel language or its implementation. If curious about learning the Chapel, testing its advanced parallel execution or interested for more serious work or even HPC-grade workloads, one may run, test and share Chapel-code via on-line IDE platform at https://TiO.run for learning or end up on Cray High-End HPC-supercomputing fabric. The way starts here"
chip-8,25,Use this tag to refer about the interpreted programming language CHIP-8 designed to make video-game programming easier and developed originally for 8-bit microcomputers by Joseph Weisbecker in the mid-1970s.
chuck,24,ChucK is a strongly timed music programming language with deterministic multithreading.
cilk,70,Cilk is a general-purpose programming language designed for multithreaded parallel computing.
cl,222,cl.exe is a tool that controls the Microsoft C and C++ compilers and linker. cl.exe can be run only on operating systems that support Microsoft Visual Studio.
clarion,62,"Clarion is a commercial, 4GL, programming language and Integrated Development Environment from SoftVelocity used to program database applications."
clipper,51,Member of the xBase family of languages. Use this tag for questions about coding in that language. For questions about the line and polygon clipping library use the tag clipperlib instead.
clips,597,"CLIPS is an acronym for C Language Integrated Production System,  rules-based programming framework designed for building expert systems."
clist,25,The clist tag has no usage guidance.
clojure,16589,"Clojure is a modern Lisp dialect for the Java Virtual Machine (with versions for the CLR and JavaScript). More than merely an implementation of Lisp in Java, Clojure provides access to Java's classes and ecosystem."
cobol,1406,COBOL (COmmon Business Oriented Language) was the product of a US Department of Defense initiative to develop a standard and portable programming language for business applications. COBOL celebrated its 50th birthday in 2009. It is generally believed that new COBOL development is in decline but a commercial commitment remains to keep the language relevant in today’s computing landscape.
cobra,23,"Three possible technologies: The Cobra toolkit is a pure Java HTML parser and rendering engine with support for CSS 2 and JavaScript.  The Cobra Programming Language has Python-like syntax that targets the .NET runtime and supports built-in unit tests, contracts and both dynamic/static programming support.  Cobra is a Go library for creating powerful modern CLI applications as well as a program to generate applications and command files."
coffeescript,9731,"CoffeeScript is a language that compiles into JavaScript. Underneath all of those embarrassing braces and semicolons, JavaScript has always had a gorgeous object model at its heart. CoffeeScript is an attempt to expose the good parts of JavaScript in a simple way."
coldfusion,13482,"ColdFusion is a server-side rapid application development platform, implementing the dynamic general purpose CFML programming language. Please include CFML version, OS, and web server in questions."
common-lisp,5381,Common Lisp is a standardized version of the Lisp programming language intended for production-strength power.
compass,680,Compass is a charityware authoring framework. It uses the SASS stylesheet language to create clean and reusable CSS3 code.
component-pascal,3,"Component Pascal is a minor variant and refinement of the Oberon-2 programming language developed by Oberon Microsystems, and is now an open source community project."
constraint-handling-rules,16,Constraint Handling Rules is a declarative constraint logic programming language.
coq,2242,"Coq is a formal proof management system, semi-interactive theorem prover and functional programming language. Coq is used for software verification, the formalization of programming languages, the formalization of mathematical theorems, teaching, and more.  Due to the interactive nature of Coq, we recommend questions to link to executable examples at https://x80.org/collacoq/ if deemed appropriate."
cryptol,5,The cryptol tag has no usage guidance.
crystal,11998,"Crystal Reports is a report writer that operates as a stand-alone report designer, an integrated part of Visual Studio, or part of SAP's Business Objects Enterprise suite."
csound,41,"Csound is a sound design, audio synthesis, and signal processing system, providing facilities for music composition and performance on all major operating systems and platforms."
curl,39000,"cURL is a library and command-line tool for transferring data using various protocols such as HTTP, FTP and SFTP. The cURL project produces two products, libcurl and curl. This tag covers all usages of cURL, regardless of which cURL product is used."
curry,17,"Curry is an experimental functional logic programming language, based on the Haskell language. It merges elements of functional and logic programming, including constraint programming integration."
cyclone,24,"cyclone is a python web framework, a clone of facebook's tornado, on top of twisted."
cython,4310,Cython is a superset of the Python language for quickly generating Python C extensions.
d,2559,"D is a multi-paradigm systems programming language developed by Walter Bright and, since 2006, Andrei Alexandrescu. Now, D is an open source collaboration."
dart,39515,"Dart is a class-based, statically(& strongly)-typed programming language for building web and mobile applications. Dart compiles to modern JavaScript to run in the browser and compiles to native code to run on mobile platforms like Android and iOS. Dart also runs on the command-line for scripting and server-side apps."
darwin,334,"Darwin is the open-source core of macOS, iOS, tvOS and watchOS. It is derived from NeXTStep, Mach, and *BSD; the kernel is called XNU."
dataflex,17,"DataFlex is a database RAD tool for developing Windows and web applications. DataFlex is an OOP development language in a style comparable with Visual Basic, Delphi and C#."
datalog,138,Datalog is a query and rule language for (deductive) databases that syntactically is a subset of Prolog.
dax,4383,"Expression language used in Microsoft Power Pivot, SQL Server Analysis Services Tabular, and Power BI for performing analytical calculations."
dbase,270,"dBase II was the first widely used database management system (DBMS) for microcomputers. The dBase system includes the core database engine, a query system, a forms engine, and a programming language that ties all of these components together. dBase's underlying file format, the .dbf file, is widely used in many other applications needing a simple format to store structured data."
dc,30,dc is an arbitrary precision calculator which reads instructions from standard input or files.
dcl,40,DCL is the language for command lines and batch files of RSX and VMS operating systems; it stands for Digital Command Language (*Digital* was a computer and software vendor 1958-1998).
dog,5,DOG is an esoteric programming language which looks like commands you would give to a dog.
drakon,4,The drakon tag has no usage guidance.
dylan,12,"Dylan is a general-purpose, high-level programming language, designed for use in application and systems programming."
e,118,e is a hardware verification language (HVL) which is tailored to implementing highly flexible and reusable verification testbenches.
ecmascript,2106002,"For questions regarding programming in ECMAScript (JavaScript/JS) and its various dialects/implementations (excluding ActionScript). This tag is rarely used alone but is most often associated with the tags [node.js], [jquery],[json], and [html]."
egl,347,"EGL™ is an interface between Khronos rendering APIs such as OpenGL ES or OpenVG and the underlying native platform window system. It handles graphics context management, surface/buffer binding, and rendering synchronization and enables high-performance, accelerated, mixed-mode 2D and 3D rendering using other Khronos APIs."
eiffel,267,"Eiffel is a statically typed object-oriented programming language closely related with the programming method of the same name. Both are based on a set of principles like Design by Contract, Command-Query Separation, Uniform Access, etc. Many concepts initially introduced by Eiffel find their way to C#, Java and other languages. The program in Eiffel can be compiled unchanged for almost any target platform."
elixir,7988,"Elixir is an open-source, dynamic, compiled, general purpose functional programming language. It was designed to be fully compatible with the Erlang platform and is well suited to writing fault-tolerant, distributed applications with soft real-time guarantees and the ability for hot-code-swapping."
elm,1716,"Elm is a functional programming language for writing web applications that can fully replace, or interoperate with, HTML/CSS/JavaScript."
emacs-lisp,3706,"Emacs Lisp is the extension language for the GNU Emacs text editor, and in fact, most of the functionality of Emacs is implemented using Emacs Lisp.  Users generally customize Emacs' behavior by adding Emacs Lisp statements to their `~/.emacs`, or writing separate packages."
epl,120,"EPL stands for the ""Eltron Programming Language"" and is a proprietary programming language used to communicate to Zebra (formerly Eltron) branded printers"
erlang,8951,"Erlang is a general-purpose, garbage-collected programming language and runtime environment, with built-in support for concurrency, distribution and fault tolerance."
f#,15133,"F# is a succinct, expressive and efficient functional and object-oriented language for .NET which helps you write simple code to solve complex problems."
f-script,9,F-Script is a scripting programming language for Mac OS X.
fantom,57,"The fantom tag has no usage guidance, but it has a tag wiki."
faust,40,"Faust is a stream processing library, porting the ideas from Kafka Streams to Python."
fish,762,"The fish shell is an alternate shell, and scripting language, for *nix systems (including macOS). Its claim to fame is being an intuitive, user friendly, and efficient modern shell. Some key examples, per their own website, are enhanced syntax highlighting, completions and autosuggestions (automatically generated from man pages), high performance, and sane scripting."
flex,16184,CSS module for flexible layouts providing a broad range of options for aligning elements while eliminating the need for floats and tables.
focus,6672,Focus indicates the component of the graphical user interface which is currently selected to receive input.
forth,239,"Forth is a dynamic, procedural, stack based programming language developed by Charles Moore."
fortress,5,Fortress Open Source IAM SDK
fortran,10979,"Fortran is a general-purpose, procedural, imperative programming language that is especially suited for numeric computation and scientific computing. Since 2003, standard Fortran also supports object-oriented programming.  This tag should be applied to all questions about the Fortran language; other specific tags can be added for compilers, language revisions and particular aspects of use."
franz-lisp,2,A Lisp system based largely on the MacLisp dialect.
futhark,4,Futhark is a small purely functional array programming language that compiles to efficient GPU code.
freebasic,33,"FreeBASIC is a free/open source (the compiler is GPL and the runtime library is LGPL with static linking exception), 32-bit & 64-bit BASIC compiler for Microsoft Windows and LInux and a 32-bit compiler for protected-mode extended DOS."
g-code,83,G-code is the common name for the widely-used computer numerical control (CNC) programming language defined in EIA-274.
gap,39,"GAP (Groups, Algorithms and Programming) is an open source mathematical software system for discrete computational algebra (https://www.gap-system.org). Ask here non-mathematical questions about programming in GAP; for mathematical questions use the (gap) tag at Mathematics Q&A site: https://math.stackexchange.com/questions/tagged/gap. Other places to ask about GAP are the GAP Forum and GAP Support: https://www.gap-system.org/Contacts/Forum/forum.html"
gdl,7,Use this tag for questions related to GDL programming
gdscript,200,"GDScript is a high level, dynamically typed programming language used to create content. It uses a syntax similar to Python (blocks are indent-based and many keywords are similar)."
genie,93,Genie is a programming language allowing one to program in Vala with a Python-like syntax.
glsl,6817,"The OpenGL Shading Language (GLSL) is the standard programming language for shaders in OpenGL. There are many versions of the language, with each version corresponding to a version of OpenGL. OpenGL ES 2.0 and above have separate versions of GLSL."
gml,279,"Game Maker Language (GML) is an interpreted scripting language developed for use with a computer game creation application called Game Maker.  Use this tag only for questions about language features, or requiring code in Game Maker Language.  For questions relating to Geography Markup Language, use the [gml-geographic-markup-lan] tag instead. For Graph Markup Language, see the [graphml] tag."
go,49509,"Go is an open-source programming language. It is statically-typed, with a syntax loosely derived from C, adding automatic memory management, type safety, some dynamic typing capabilities, additional built-in types such as variable-length arrays (called slices) and key-value maps, and a large standard library."
google-apps-script,36561,"Use for questions about Google Apps Script, Google's JavaScript-based cloud scripting platform for automating tasks across Google products and third-party services. Use in addition to relevant product-specific (e.g. [google-sheets], [google-docs]) or API-specific (e.g. [google-drive-api]) tags where applicable"
gosu,83,"Gosu is an imperative statically-typed object-oriented programming language for the Java Virtual Machine (JVM) that is designed to be expressive, easy-to-read, and reasonably fast. The language is rooted in concepts from Java, C#, and ECMAScript, but borrows some constructs from Ruby and dynamic languages."
grass,65,"GRASS GIS, commonly referred to as GRASS (Geographic Resources Analysis Support System), is a free and open source Geographic Information System (GIS) software suite used for geospatial data management and analysis, image processing, graphics and maps production, spatial modeling, and visualization."
groovy,25915,"Groovy is an object-oriented programming language for the Java platform. It is a dynamic language with features similar to those of Python, Ruby, Perl and Smalltalk. It can be used as a scripting language for the Java platform."
grasshopper,100,"Grasshopper provides generative modeling for Rhino and contains VB.NET, Python and C# scripting components."
halide,219,Halide is a domain-specific language for image processing and computational photography.
haskell,44971,"Haskell is a functional programming language featuring strong static typing, lazy evaluation, extensive parallelism and concurrency support, and unique abstraction capabilities."
haxe,1498,"Haxe can build cross-platform applications targeting JavaScript, C++, C#, Java, JVM, Python, Lua, PHP, Flash, and allows access to each platform's native capabilities. Haxe has its own VMs (HashLink and NekoVM) but can also run in interpreted mode. Code written in Haxe can be compiled to any target Haxe supports."
hlsl,1329,HLSL(High Level Shader Language) is a proprietary shading language developed by Microsoft for use with the Microsoft Direct3D API
hopscotch,13,Hopscotch is a framework to make it easy for developers to add product tours to their pages. Hopscotch accepts a tour JSON object as input and provides an API for the developer to control rendering the tour display and managing the tour progress
hugo,830,Hugo is a very fast static site generator written in Go.  Please refer to https://gohugo.io/documentation/ or https://discourse.gohugo.io/ before posting questions here.
hypertalk,4,The hypertalk tag has no usage guidance.
idl,516,"IDL, short for Interface Description Language, is a language used to describe a software component's public interface in a programming-language-independent manner.  (Not to be confused with [tag:idl-programming-language], a language used for scientific and medical image analysis)"
icon,8288,An icon is a small pictogram used in graphical user interfaces to supplement the presentation of textual information to the user.
idris,655,Idris is a general purpose pure functional programming language with dependent types.
j,381,"J is a high-level, general-purpose, high-performance array programming language."
io,15939,"In computing, input/output, or I/O, refers to the communication between an information processing system (such as a computer), and the outside world, possibly a human, or another information processing system."
j#,63,"J# programming language is a discontinued transitional language for programmers of Java and Visual J++ languages, so they may use their existing knowledge and applications on .NET Framework."
j++,9,"J++ was Microsoft's specific implementation of Java. Syntax, keywords, and grammatical conventions were the same as Java's. Microsoft discontinued support of J++ in January 2004, replacing it to a certain extent with J# and C#."
jade,5929,"Pug (formerly known as Jade) is a robust, elegant and feature-rich template engine for Node.js."
janus,172,"Janus Systems is a vendor of Windows Forms controls for .NET, ASP.NET Server Controls for .NET and ActiveX Controls."
java,1723671,"Java is a popular high-level programming language. Use this tag when you're having problems using or understanding the language itself. This tag is rarely used alone and is most often used in conjunction with [spring], [spring-boot], [jakarta-ee], [android], [javafx], [gradle] and [maven]."
javascript,2106002,"For questions regarding programming in ECMAScript (JavaScript/JS) and its various dialects/implementations (excluding ActionScript). This tag is rarely used alone but is most often associated with the tags [node.js], [jquery],[json], and [html]."
jcl,367,"Job Control Language (JCL) is a scripting language used on the IBM mainframe operating systems z/OS and z/VSE (and predecessors) to instruct the system on how to run a batch job or start a subsystem. In z/VSE, it is sometimes referred to as JCS (Job Control Statements).   In z/OS, Job Entry Control Language (JECL) controls how JES2 or JES3 handles the job execution and output."
jess,193,Jess is a forward-chaining rule engine written in Java. It implements a Lisp-like rule language very similar to the classic CLIPS language.
jscript,1099,"JScript is a scripting language based on the ECMAScript standard, created by Microsoft and implemented in a range of environments. You would expect this tag to accompany questions regarding these environments, such as Windows Script Host (WSH), Active Server Pages (ASP) and HTML Applications (HTA)."
julia,7477,"The Julia programming language is fast, expressive and dynamic.  By aggressively targeting technical computing it has become a robust general purpose language. It addresses the two-language problem by combining the ease of use of high-level languages such as R and Python with the performance of C and Fortran."
jython,2662,"Jython is an open-source implementation of the Python programming language in Java.  Use this tag for questions specific to this implementation, general Python questions should just be tagged with ""python""."
k,68,K is an array processing language used in the Kdb database
kaleidoscope,7,"Kaleidoscope is a proprietary visual diff tool for Mac, which works with Git, SVN, Mercurial, and others."
karel,35,Karel is an introductory programming language in which one controls a simulated robot.
kif,144,KIF is an iOS integration test framework. It allows for easy automation of iOS apps by leveraging the accessibility attributes that the OS makes available for those with visual disabilities.
kotlin,47368,"Kotlin is an open-source, statically typed programming language backed by JetBrains. Kotlin combines OOP and functional features and is focused on interoperability, safety, clarity, and tooling support. It currently targets the JVM and JavaScript, and it's an officially supported language on Android."
krl,124,KRL stands for Kinetic Rule Language. Use this tag for questions regarding KRL applications.
krypton,19,Krypton (A.K.A Krypton XNA) is a 2d light engine for XNA 4.0. Krypton allows users of the XNA framework to easily add 2D lighting to their games. Questions concerning the Krypton Suite of WinForms controls should NOT use this tag - use the tag [krypton-toolkit] instead.
kv,1764,A language created and used in the Kivy framework to describe a widget structure of a project.
labview,1185,LabVIEW stands for Laboratory Virtual Instrumentation Engineering Workbench and is a graphical programming system by National Instruments. The programming language is called G but often referred to as just LabVIEW.
lansa,6,LANSA is a development environment that requires a single skill set to build applications that can run on multiple platforms.
lava,12,A Domain Specific Language (DSL) for expressing hardware-oriented descriptions of computations.
lean,96,"Lean is an open source theorem prover being developed at Microsoft Research, and its standard library at Carnegie Mellon University. The Lean Theorem Prover aims to bridge the gap between interactive and automated theorem proving."
lilypond,121,"GNU LilyPond is Free Software for engraving music, with a strong emphasis on very high quality output."
lingo,45,Lingo is the embedded scripting language used in Adobe Director.
linq,79885,"Language Integrated Query (LINQ) is a Microsoft .NET Framework component that adds native data querying capabilities to .NET languages. Please consider using more detailed tags when appropriate, for example [linq-to-sql], [linq-to-entities] / [entity-framework], or [plinq]"
lis,93,"The longest increasing subsequence problem is to find a subsequence of a given sequence in which the subsequence's elements are in sorted order, lowest to highest, and in which the subsequence is as long as possible."
livecode,628,"The LiveCode programming language (formerly the ""Revolution"" programming language) is a cross-platform rapid application development language."
livescript,67,LiveScript is a language which compiles to JavaScript. It is a fork of Coco which is in turn derived from CoffeeScript.
logtalk,19,Logtalk is an object-oriented logic programming language based on Prolog
lotusscript,1130,LotusScript is a dialect of the BASIC programming language used by Lotus Notes and other IBM Lotus Software products
lpc,185,Refers to a line of ARM-based microcontrollers by NXP Semiconductors.
lsl,61,"Linden Scripting Language, or LSL, is the programming language used in the game Second Life."
lua,17664,"Lua is a powerful, fast, lightweight, embeddable scripting language. It is dynamically typed, runs by interpreting bytecode, and has automatic garbage collection. Its speed is one of the main reasons it is widely used by the machine learning community. It is often referred to as an ""extensible extension language""."
lucid,23,Lucid is the AdonisJS implementation of the active record pattern.
lustre,33,A highly scalable distributed file system.
m#,3,A suite of tools and a Domain-specific language that can be used to create Websites and Web Applications. Its main goal is to reduce the time necessary for creating these from scratch.
lynx,111,"Lynx is a cross platform, GPL licensed, text-mode web browser which is also used as HTML interpreter in shell scripts e.g. as part of web crawlers."
m4,185,m4 is a general purpose macro processing language developed by Brian Kernighan and Dennis Ritchie.
machine-code,497,"Machine code is data that is directly fed into a microprocessor, being the only form that the processor is able to execute. It is the lowest possible level of abstraction, wherein all data is a raw binary stream. Machine code is barely readable by humans, which is why assembly is usually utilized instead."
magik,1,"Magik is a dynamically typed, object-oriented programming language that supports multiple inheritance and polymorphism. It is part of the Smallworld Geographical Information System (GIS)."
magma,40,MAGMA (Matrix Algebra on GPU and Multicore Architectures) is a collection of linear algebra libraries for heterogeneous processor architectures.
maple,553,Programming questions related to the computer algebra system Maple.
mapper,555,"The mapper is the first step in MapReduce framework, a component of a larger scalable, parallel-izable algorithm."
masm,2102,"MASM is Microsoft's Macro Assembler tool for converting assembly language to object code.  It processes x86 instructions and pseudo instructions written in ""Intel syntax"".  MASM is the standard low-level language for all MSDOS and Windows environments and is currently being supported in the 32-bit and 64-bit versions."
matlab,88948,"MATLAB is a high-level language and interactive programming environment for numerical computation and visualization developed by MathWorks. Don’t use both the [matlab] and [octave] tags, unless the question is explicitly about the similarities or differences between the two. When using this tag, please mention the MATLAB release you're working with (e.g. R2017a)."
maude-system,7,Maude is a rewriting system based on rewriting logic.
max,7360,"Maximum value. Largest, biggest, greatest."
maxima,640,"Maxima is an opensource Computer Algebra System based on the legendary Macsyma. NOTE: This tag has NOTHING to do with 'finding the maxima' - for that, please use [max]."
maxscript,266,MAXScript is the built-in scripting language in Autodesk 3ds MAX. It can be used to automate repetitive tasks as well as develop new tools and user interfaces.
maya,2223,"Autodesk Maya is a 3D modeling, animation and rendering tool used in film, TV and advertising. Only programming questions are on-topic."
mercury,40,"Mercury is a purely declarative logical/functional language.  It features a strong, static, polymorphic type system, as well as a strong mode and determinism systems.  The type system is similar to that of Haskell, while the syntax is derived from Prolog's."
mesa,188,"A free and open source implementation of graphics and compute APIs such as Vulkan, OpenGL and OpenCL. Typically used in GNU/Linux on AMD or Intel GPUs.  Use this tag for questions about issues in your code running on Mesa or in questions about compiling Mesa itself."
mirah,19,Mirah is a statically typed programming language with ruby-like syntax. Mirah code can compile to Java bytecode.
miranda,17,"Miranda is a pure, non-strict, polymorphic, higher order functional programming language."
ml,634,"ML is a family of functional programming languages, including SML, OCaml, and F#. USE [machine-learning] tag for machine learning."
modelica,888,Modelling language for multi-domain physical and control systems.
modula-2,15,"Modula-2 is a procedural programming language, created as a revision of Pascal. It was intended to fix shortcomings of Pascal which its designer, Niklaus Wirth, intended only as an instructional language. Modula-2 supports separate definition and implementation modules, coroutines, data abstraction, machine access support, and an extensive standard library for I/O, math, etc."
modula-3,1,"Modula-3 is a systems programming language that descends from Mesa, Modula-2, Cedar, and Modula-2+. It also resembles its cousins Object Pascal, Oberon, and Euclid."
moo,49,Moo is a minimal object-oriented programming library for the Perl programming language.
mouse,4105,A mouse is a pointing device that functions by detecting two-dimensional motion relative to its supporting surface.
mpd,95,"Music Player Daemon, an audio server on Unix-type systems."
mumps,72,"MUMPS is a high-performance, hierarchical NoSQL database with an embedded general-purpose programming/scripting language, originating in Massachusetts General Hospital in 1966 and widely used in healthcare and finance."
mupad,79,MuPAD is a computer algebra system.
nasm,4083,"Nasm is the Netwide Assembler, an open-source x86/x64 assembler. It aims at being portable, modular and at having a simple syntax."
neko,55,Neko is a cross-platform virtual machine that allows for the execution of both command-line and server-side Haxe applications.
nemerle,58,"Nemerle is a general-purpose, multi-paradigm programming language for the .Net platform."
netlogo,3430,"NetLogo is an agent-based programming language and integrated modeling environment. NetLogo is free and open source software, under a GPL license. Commercial licenses are also available. It is written in Scala and Java and runs on the Java Virtual Machine."
netrexx,2,"NetRexx is a general-purpose programming language inspired by two very different programming languages, Rexx and Java™. It is designed for people, not computers. In this respect it follows Rexx closely, with many of the concepts and most of the syntax taken directly from Rexx or its object-oriented version, Object Rexx. From Java it derives static typing, binary arithmetic, the object model, and exception handling."
newlisp,19,newLISP is an Open Source scripting language in the Lisp family of programming languages developed by Lutz Mueller and released under the GNU General Public License.
newspeak,6,"Newspeak is a highly dynamic and reflective language influenced by Smalltalk, Self, BETA, and others. It is class-based, dynamically typed, has no static state, nested classes."
newtonscript,4,"NewtonScript is a prototype-based programming language created to write programs for the Newton platform. It is heavily influenced by the Self programming language, but modified to be more suited to needs of mobile and embedded devices."
nix,476,Nix is a purely functional package manager.
nsis,2336,This tag is used for questions about the open source Nullsoft Scriptable Install System (NSIS) setup generator.
nxc,27,The `nxc` tag is for 'Not eXactly C'.
oak,22,The oak tag has no usage guidance.
oberon,15,Oberon is a programming language created by Niklaus Wirth and his associates at ETH Zurich in Switzerland. It was developed as part of the implementation of the Oberon operating system.  The language was extended to Oberon-2 with the collaboration of Hanspeter Mossenbock (now at the University of Linz).
object-pascal,46718,"Delphi is a language for rapid development of native Windows, macOS, Linux, iOS, and Android applications through use of Object Pascal. The name refers to the Delphi language as well as its libraries, compiler and IDE which is used to help edit and debug Delphi projects."
objective-c,290806,"This tag should be used only on questions that are about Objective-C features or depend on code in the language. The tags [cocoa] and [cocoa-touch] should be used to ask about Apple's frameworks or classes. Use the related tags [ios], [macos], [apple-watch] and [tvos] for issues specific to those platforms."
